Postcode-4;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse achtergond";"Westerse migratie achtergrond";"Niet-westerse migratie achtergrond"
5508;10620;5315;5305;1870;1160;2640;3370;1580;80;10;10
5509;3420;1705;1715;595;370;825;985;650;80;10;10
5511;1410;765;645;185;170;290;485;285;90;10;0
5512;2105;1055;1055;290;235;405;665;510;90;10;0
5513;2015;1005;1010;330;240;430;610;405;100;0;0
5521;10305;5145;5160;1580;1070;2255;2940;2460;90;10;0
5524;1460;750;710;210;150;330;460;305;90;10;0
5525;2020;1070;950;265;265;410;695;390;90;10;0
5527;5620;2840;2780;815;705;1225;1685;1190;90;10;0
5528;2195;1140;1055;315;295;460;700;425;90;10;0
5529;1095;550;545;175;140;250;300;225;90;0;0
5531;10480;5295;5185;1550;1140;2375;2980;2435;90;10;0
5534;1005;525;480;190;125;220;315;150;90;0;0
5541;8705;4460;4245;1480;910;2140;2380;1790;90;10;0
5551;9290;4650;4640;1485;1025;2060;2850;1870;90;10;0
5552;6150;3060;3095;835;605;1490;1680;1540;80;10;10
5553;1860;935;925;300;200;355;525;480;80;10;10
5554;9475;4620;4855;1010;975;1850;2680;2960;90;10;0
5555;3215;1610;1605;395;325;665;975;855;90;10;0
5556;1200;620;575;140;145;245;425;240;90;10;0
5561;2420;1250;1170;295;310;415;825;575;90;10;0
5563;2115;1120;995;325;255;470;655;410;90;10;0
5571;10970;5565;5405;1580;1250;2345;3250;2545;90;10;0
5575;3130;1610;1520;480;400;665;955;635;90;10;0
5581;6845;3405;3440;1175;705;1465;1960;1540;80;10;10
5582;4955;2475;2480;805;465;945;1455;1285;80;10;10
5583;5655;2800;2860;930;620;1105;1645;1355;80;10;0
5591;9905;4940;4965;1365;1075;1930;2965;2570;90;10;0
5595;4510;2285;2225;690;510;910;1355;1040;90;10;0
5611;13565;7730;5835;950;2545;6445;2320;1305;50;20;20
5612;11735;6625;5105;1100;2515;4950;1925;1240;40;20;40
5613;6240;3300;2940;835;965;2065;1400;975;60;20;20
5614;3905;1935;1970;480;620;1270;805;730;70;20;10
5615;7750;4075;3675;945;1215;2710;1785;1095;70;20;20
5616;12795;6710;6085;1330;1995;4825;2825;1825;70;20;20
5617;1665;940;725;50;255;1200;130;35;70;10;10
5621;3875;2020;1855;545;750;1450;840;295;50;20;30
5622;8015;4205;3810;1080;1190;2610;1890;1245;60;10;30
5623;10825;5510;5315;1200;1450;3185;2260;2735;60;20;30
5624;5710;2875;2835;745;725;1375;1430;1435;70;10;20
5625;9980;4885;5095;1530;1270;2700;2345;2135;50;10;30
5626;4160;2210;1950;465;530;840;1375;950;80;10;10
5627;12215;6195;6020;1910;1270;3020;3860;2155;80;10;10
